id,category,brand,name,model_name,image,monthly_price,data_status,audit_status
"lg-wd523vct","정수기","LG전자","퓨리케어 오브제컬렉션 맞춤 출수 냉온정수기","WD523VCT","/rental/products/lg-wd523vct.webp","32900","verified","ready"
"lg-wd323acb","정수기","LG전자","퓨리케어 오브제컬렉션 맞춤 출수 냉정수기","WD323ACB","/rental/products/lg-wd323acb.webp","28900","verified","ready"
"coway-chp-5730l","정수기","코웨이","워터스탠드 플러스 일반형 냉온정수기","CHP-5730L_WT","/rental/products/coway-chp-5730l.webp","25900","verified","ready"
"coway-chpi-5810l","정수기","코웨이","프라임 아이 맥스 얼음 냉온정수기","CHPI-5810L","/rental/products/coway-chpi-5810l.webp","55900","verified","ready"
"sk-wpupbc204s","정수기","SK매직","뉴 미니 직수 정수기","WPUPBC204S","/rental/products/sk-wpupbc204s.webp","15900","verified","ready"
"cuckoo-cp-aas100ulw","정수기","쿠쿠","스팀 100 빌트인 냉온정수기","CP-AAS100ULW","/rental/products/cuckoo-cp-aas100ulw.webp","40900","verified","ready"
"cesco-ewbd151","정수기","세스코","5중안심 살균온 냉온정수기","EWBD151","/rental/products/cesco-ewbd151.webp","25900","verified","ready"
"cesco-ewbd351","정수기","세스코","더슬림 데스크 냉온정수기","EWBD351","/rental/products/cesco-ewbd351.webp","17900","verified","ready"
"ruhens-whp-2000","정수기","루헨스","탱크형 스탠드 냉온정수기","WHP-2000","/rental/products/ruhens-whp-2000.webp","14900","verified","ready"
"hyundai-p-a52s","정수기","현대큐밍","더퓨어 알파 UV 스탠드 냉온정수기","P-A52S","/rental/products/hyundai-p-a52s.webp","23900","verified","ready"
"chungho-new-icetree","정수기","청호나이스","뉴 아이스트리 얼음정수기","WI-36C90620N","/rental/products/chungho-new-icetree.webp","","catalog","ready"
"chungho-esprescafe","정수기","청호나이스","에스프레카페 커피정수기","WF-60C90521M","/rental/products/chungho-esprescafe.webp","","catalog","ready"
"samsung-bespoke-water","정수기","삼성전자","비스포크 정수기","RWP70F15ANW","/rental/products/samsung-bespoke-water.webp","","catalog","ready"
"coway-icon2-chp-7211n","정수기","코웨이","아이콘 정수기2 냉온정","CHP-7211N","/rental/products/coway-chp-7211n.webp","29900","verified","ready"
"sk-wpu-iac414s","정수기","SK매직","원코크 얼음물 직수얼음 정수기","WPU-IAC414S","/rental/products/sk-wpu-iac414s.webp","51900","verified","ready"
"coway-icon-ice","정수기","코웨이","아이콘 얼음정수기","CHPI-7410N","/rental/products/coway-icon-ice.webp","","catalog","ready"
"sk-onecock-ice","정수기","SK매직","원코크 플러스 얼음물 정수기","WPUIAC425SNW","/rental/products/sk-onecock-ice.webp","","catalog","ready"
"lg-as305dwwam","공기청정기","LG전자","퓨리케어 360° 공기청정기 플러스 무빙휠 세트","AS305DWWAM","/rental/products/lg-as305dwwam.webp","","catalog","ready"
"lg-aerotower","공기청정기","LG전자","퓨리케어 오브제컬렉션 에어로타워","FS063PSDA","/rental/products/lg-aerotower.webp","","catalog","ready"
"samsung-cube-air-infinite","공기청정기","삼성전자","비스포크 큐브 Air Infinite Line","AP90F08163EDD","/rental/products/samsung-cube-air-infinite.webp","","catalog","ready"
"coway-noble-aircare2","공기청정기","코웨이","노블 공기청정기2","AP-2023K","/rental/products/coway-noble-aircare2.webp","","catalog","ready"
"sk-allclean-25","공기청정기","SK매직","올클린 공기청정기 25평형","ACL25C1ASKCE","/rental/products/sk-allclean-25.webp","","catalog","ready"
"cuckoo-ultra-air","공기청정기","쿠쿠","인스퓨어 ULTRA 12000 공기청정기","AC-35U10FWS(S)","/rental/products/cuckoo-ultra-air.webp","","catalog","ready"
"chungho-newhero","공기청정기","청호나이스","뉴히어로2 공기청정기","AP-20H7560","/rental/products/chungho-newhero.webp","","catalog","ready"
"hyundai-air-blade","공기청정기","현대큐밍","더케어 블레이드 공기청정기","HQAB303E0F","/rental/products/hyundai-air-blade.webp","","catalog","ready"
"coway-bas47-ar","비데","코웨이","소형도기 전용 스스로케어 비데 리모트2","BAS47-AR","/rental/products/coway-bas47-ar.webp","20400","verified","ready"
"coway-icon-bidet","비데","코웨이","더매너 비데 플러스","BAS51-A","/rental/products/coway-bas51-a.webp","31400","verified","ready"
"sk-full-stainless-bidet","비데","SK매직","풀스텐 살균 비데","BID-S17D","/rental/products/sk-bid-s17d.webp","16900","verified","ready"
"sk-bubble-bidet","비데","SK매직","올클린 도기 버블 세정 비데","BID-S36D","/rental/products/sk-bubble-bidet.webp","19900","verified","ready"
"cuckoo-triplecare-bidet","비데","쿠쿠","인스퓨어 트리플케어8 비데","CBT-QSB1041W","/rental/products/cuckoo-cbt-qsb1041w.webp","18900","verified","ready"
"hyundai-smart-bidet","비데","현대큐밍","더클린 스마트 비데","HQBS300W0B","/rental/products/hyundai-smart-bidet.webp","18900","verified","ready"
"chungho-bidet","비데","청호나이스","살균 비데","BD-35D51","/rental/products/chungho-bidet.webp","13900","verified","ready"
"ruhens-smart-bidet","비데","루헨스","퍼펙트 클린 비데","WHB-5400","/rental/products/ruhens-whb-5400.webp","16900","verified","ready"
"nouhaus-nr-sn100n","안마의자","누하스","루나L 4D 리클라이너 안마의자","NR-SN100N-E","/rental/products/nouhaus-nr-sn100n.webp","50900","verified","ready"
"bodyfriend-phantom-rovo","안마의자","바디프랜드","팬텀 로보 안마의자","BFR-8091","/rental/products/bodyfriend-phantom-rovo.webp","","catalog","ready"
"bodyfriend-palcon","안마의자","바디프랜드","팔콘 안마의자","BFR-7210","/rental/products/bodyfriend-palcon.webp","","catalog","ready"
"ceragem-master-v7","안마의자","세라젬","마스터 V7 척추 의료가전","CGM MB-2605","/rental/products/ceragem-master-v7.webp","106000","verified","ready"
"cozyma-newera","안마의자","코지마","뉴에라 안마의자","CMC-A900(G)","/rental/products/cozyma-newera.webp","128800","verified","ready"
"cuckoo-restino","안마의자","쿠쿠","레스티노 안마의자 일반형","CMS-D10SLGB","/rental/products/cuckoo-restino.webp","43900","verified","ready"
"samsung-dv90f22cdy","세탁·건조","삼성전자","비스포크 AI 건조기 22kg","DV90F22CDY","https://images.samsung.com/kdp/goods/2025/07/17/8a565e08-2943-4a9f-bac0-ced14dbd5335.png","60000","verified","ready"
"lg-washtower","세탁·건조","LG전자","트롬 AI 오브제컬렉션 워시타워 25/25kg","WA2525EGZF","/rental/products/lg-washtower.webp","","catalog","ready"
"lg-tromm-dryer","세탁·건조","LG전자","트롬 AI 오브제컬렉션 건조기 25kg","RA25GJFB","/rental/products/lg-tromm-dryer.webp","","catalog","ready"
"lg-styler","세탁·건조","LG전자","스타일러 오브제컬렉션 5벌","SC5GMR80S","/rental/products/lg-styler.webp","","catalog","ready"
"samsung-ai-combo","세탁·건조","삼성전자","Bespoke AI 콤보 세탁건조기","WD90F25CHY","/rental/products/samsung-ai-combo.webp","","catalog","ready"
"samsung-airdresser","세탁·건조","삼성전자","Bespoke 에어드레서 대용량","DF24CB9900CR","/rental/products/samsung-airdresser.webp","","catalog","ready"
"lg-dishwasher","주방가전","LG전자","디오스 오브제컬렉션 식기세척기 14인용","DUE6BGL","/rental/products/lg-dishwasher.webp","","catalog","ready"
"sk-dishwasher","주방가전","SK매직","터치온 플러스 식기세척기","DWA81R0D","/rental/products/sk-dishwasher-dwa81r0d.webp","","catalog","ready"
"lg-induction","주방가전","LG전자","디오스 오브제컬렉션 인덕션 3구","BEI3QRBLE","/rental/products/lg-induction.webp","","catalog","ready"
"samsung-dishwasher","주방가전","삼성전자","Bespoke AI 식기세척기 빌트인 14인용","DW80F75K1USWS","/rental/products/samsung-dishwasher.webp","","catalog","ready"
"cuckoo-pet-dryroom","생활가전","쿠쿠","넬로 펫 에어샤워 앤 드라이룸","ND-A0610FG","/rental/products/cuckoo-pet-dryroom.webp","","catalog","ready"
"sk-bidet-s34d","비데","SK매직","올클린 버블 세정 비데 리모컨형","BID-S34D","/rental/products/sk-bidet-s34d.webp","","catalog","ready"
"cuckoo-cms-g210nw","안마의자","쿠쿠","레스티노 컴팩트 안마의자","CMS-G210NW","/rental/products/cuckoo-cms-g210nw.webp","41900","verified","ready"
"cuckoo-cms-c10dr","안마의자","쿠쿠","레스티노 내추럴 릴렉스 안마의자","CMS-C10DR","/rental/products/cuckoo-cms-c10dr.webp","","catalog","ready"
"cuckoo-cms-f410cb","안마의자","쿠쿠","레스티노 안마의자 최고급형","CMS-F410CB","/rental/products/cuckoo-cms-f410cb.webp","","catalog","ready"
"cuckoo-cms-h410ww","안마의자","쿠쿠","레스티노 듀얼에어 안마의자","CMS-H410WW","/rental/products/cuckoo-cms-h410ww.webp","54900","verified","ready"
"cuckoo-cms-j410bk","안마의자","쿠쿠","레스티노 J체어 안마의자 블랙","CMS-J410BK","/rental/products/cuckoo-cms-j410bk.webp","52900","verified","ready"
"sk-dishwasher-dwa81r5b","주방가전","SK매직","트리플케어 식기세척기","DWA81R5B","/rental/products/sk-dishwasher-dwa81r5b.webp","","catalog","ready"
"lg-tromm-washer-fa25ejfb","세탁·건조","LG전자","트롬 AI 오브제컬렉션 세탁기 25kg","FA25EJFB","/rental/products/lg-tromm-washer.webp","","catalog","ready"
"lg-washtower-wa2525eyzf","세탁·건조","LG전자","트롬 AI 오브제컬렉션 워시타워 25/25kg 네이처베이지","WA2525EYZF","/rental/products/lg-washtower-wa2525eyzf.webp","","catalog","ready"
