id,category,brand,name,model_name,image_url,monthly_price,max_card_discount,final_price,contracts,management,features,purposes,recommended,popular,source_url,verified_at,data_status,active,display_order
chungho-newhero,공기청정기,청호나이스,뉴히어로2 공기청정기,AP-20H7560,/rental/products/chungho-newhero.webp,,,,3년|5년,방문관리,20평형|360° 청정|공기질 표시,아이 있는 집|부모님,false,false,https://www.chungho.co.kr/product/product_detail.do?prodCd=AP-20H7560,2026-07-18,catalog,true,501
hyundai-air-blade,공기청정기,현대큐밍,더케어 블레이드 공기청정기,HQAB303E0F,/rental/products/hyundai-air-blade.webp,,,,3년|5년,방문관리,슬림 디자인|복합 청정|생활 탈취,가성비|신혼부부,false,false,https://www.hyundaicuming.com/,2026-07-18,catalog,true,502
sk-bubble-bidet,비데,SK매직,올클린 도기 버블 세정 비데,BID-S36D,/rental/products/sk-bubble-bidet.webp,19900,25000,0,3년|4년|5년,셀프관리|4개월 방문,도기 버블 세정|전해수 살균|온풍 건조,아이 있는 집|부모님,false,true,https://www.skmagic-shop.kr/user/product_detail?product_no=202205-1002,2026-07-18,verified,true,503
hyundai-smart-bidet,비데,현대큐밍,더클린 스마트 비데,HQBS300W0B,/rental/products/hyundai-smart-bidet.webp,18900,15000,3900,3년|5년,방문관리,자동 세정|온열 시트|절전,가성비|부모님,false,false,https://www.hyundaicuming.com/,2026-07-18,verified,true,504
chungho-bidet,비데,청호나이스,살균 비데,BD-35D51,/rental/products/chungho-bidet.webp,13900,15000,0,3년|4년,방문관리,방수|온풍 건조|온열 변좌,부모님|가성비,false,false,https://www.chungho.co.kr/,2026-07-18,verified,true,505
bodyfriend-phantom-rovo,안마의자,바디프랜드,팬텀 로보 안마의자,BFR-8091,/rental/products/bodyfriend-phantom-rovo.webp,,,,렌탈 기간 확인,A/S 조건 확인,독립 구동|전신 마사지|체형 인식,부모님|신혼부부,true,true,https://www.bodyfriend.co.kr/,2026-07-18,catalog,true,506
ceragem-master-v7,안마의자,세라젬,마스터 V7 척추 의료가전,CGM MB-2605,/rental/products/ceragem-master-v7.webp,106000,25000,81000,60개월,정기 점검 조건 확인,온열|맞춤 마사지|척추 스캔,부모님,false,false,https://www.ceragem.com/,2026-07-18,verified,true,507
cozyma-newera,안마의자,코지마,뉴에라 안마의자,CMC-A900(G),/rental/products/cozyma-newera.webp,128800,25000,103800,48개월|60개월,A/S 조건 확인,4D 마사지|온열|무중력,부모님|가성비,false,false,https://www.cozymamall.com/,2026-07-18,verified,true,508
cuckoo-restino,안마의자,쿠쿠,레스티노 안마의자 일반형,CMS-D10SLGB,/rental/products/cuckoo-restino.webp,43900,25000,18900,60개월|72개월,방문 설치|A/S 조건 확인,전신 마사지|온열|자동 코스,부모님|신혼부부,false,false,https://www.cuckoo.co.kr/rental/productList?cateUid=30,2026-07-18,verified,true,509
lg-washtower,세탁·건조,LG전자,트롬 AI 오브제컬렉션 워시타워 25/25kg,WA2525EGZF,/rental/products/lg-washtower.webp,,,,3년|4년|5년|6년,구독 케어,25kg 세탁|25kg 건조|AI 코스,신혼부부|아이 있는 집,true,true,https://www.lge.co.kr/wash-tower/wa2525egzf,2026-07-18,catalog,true,510
